Average Surface Temperatures by Country
=======================================

Country                              Celsius   Fahrenheit
----------------------------------- -------- ------------
Afghanistan (Asia/Pacific)              9.72        49.50
Albania (Europe)                       12.94        55.30
Algeria (Africa)                       18.51        65.33
Andorra (Europe)                        5.43        41.78
Angola (Africa)                        22.59        72.66
Antigua and Barbuda (America)          26.18        79.13
Argentina (America)                    15.52        59.94
Armenia (Europe)                        7.27        45.09
Australia (Asia/Pacific)               19.18        66.52
Austria (Europe)                        7.13        44.84
Azerbaijan (Europe)                    11.76        53.17
Bahamas, The (America)                 25.39        77.70
Bahrain (Asia/Pacific)                 26.17        79.11
Bangladesh (Asia/Pacific)              25.39        77.71
Barbados (America)                     26.43        79.58
Belarus (Europe)                        7.34        45.22
Belgium (Europe)                       10.42        50.75
Belize (America)                       25.63        78.14
Benin (Africa)                         27.24        81.04
Bhutan (Asia/Pacific)                  10.57        51.03
Bolivia (America)                      17.97        64.34
Bosnia and Herzegovina (Europe)        10.34        50.62
Botswana (Africa)                      21.65        70.96
Brazil (America)                       24.49        76.08
Brunei Darussalam (Asia/Pacific)       26.32        79.38
Bulgaria (Europe)                      11.48        52.67
Burkina Faso (Africa)                  28.55        83.39
Burundi (Africa)                       20.50        68.90
Cabo Verde (Africa)                    23.05        73.49
Cambodia (Asia/Pacific)                27.62        81.72
Cameroon (Africa)                      24.36        75.84
Canada (America)                        0.40        32.71
Central African Republic (Africa)      25.74        78.33
Chad (Africa)                          27.99        82.37
Chile (America)                         9.67        49.40
China (Asia/Pacific)                   12.78        55.00
Colombia (America)                     22.74        72.94
Comoros (Africa)                       25.56        78.00
Congo, Dem. Rep. (Africa)              23.78        74.80
Congo, Rep. (Africa)                   24.70        76.46
Costa Rica (America)                   22.35        72.22
Cote d'Ivoire (Africa)                 26.33        79.40
Croatia (Europe)                       12.26        54.06
Cuba (America)                         25.50        77.91
Cyprus (Europe)                        19.24        66.62
Czechia (Europe)                        8.68        47.62
Denmark (Europe)                        8.97        48.15
Djibouti (Africa)                      28.42        83.15
Dominica (America)                     25.70        78.26
Dominican Republic (America)           24.04        75.28
Ecuador (America)                      20.89        69.60
Egypt, Arab Rep. (Africa)              22.29        72.12
El Salvador (America)                  25.81        78.45
Equatorial Guinea (Africa)             23.94        75.09
Eritrea (Africa)                       25.12        77.22
Estonia (Europe)                        6.30        43.34
Eswatini (Africa)                      19.44        66.99
Ethiopia (Africa)                      22.68        72.83
Fiji (Asia/Pacific)                    24.34        75.82
Finland (Europe)                        4.92        40.85
France (Europe)                        12.99        55.38
French Polynesia (Asia/Pacific)        25.66        78.19
Gabon (Africa)                         24.68        76.42
Gambia, The (Africa)                   27.50        81.50
Georgia (Europe)                        8.36        47.05
Germany (Europe)                        9.53        49.16
Ghana (Africa)                         27.20        80.95
Gibraltar (Europe)                     17.70        63.86
Greece (Europe)                        15.65        60.18
Greenland (America)                   -18.19        -0.74
Grenada (America)                      26.50        79.70
Guatemala (America)                    22.02        71.63
Guinea (Africa)                        25.92        78.65
Guinea-Bissau (Africa)                 27.36        81.24
Guyana (America)                       25.49        77.88
Haiti (America)                        25.20        77.35
Honduras (America)                     23.53        74.35
Hungary (Europe)                       11.30        52.34
Iceland (Europe)                        1.84        35.31
India (Asia/Pacific)                   22.58        72.64
Indonesia (Asia/Pacific)               25.35        77.63
Iran, Islamic Rep. (Asia/Pacific)      16.22        61.19
Iraq (Asia/Pacific)                    23.47        74.25
Ireland (Europe)                        9.93        49.87
Isle of Man (Europe)                   10.38        50.68
Israel (Asia/Pacific)                  20.13        68.23
Italy (Europe)                         12.45        54.41
Jamaica (America)                      25.67        78.20
Japan (Asia/Pacific)                   13.10        55.58
Jersey (Europe)                        12.21        53.97
Jordan (Asia/Pacific)                  19.41        66.94
Kazakhstan (Asia/Pacific)               6.71        44.07
Kenya (Africa)                         22.77        72.99
